id	kind	type	lines	steps	stdlib_n	stdlib_modules	levels	expandable
anr_context_in_range	atomic	atomic	98	0	1	android.anrs	summary	N
anr_main_thread_blocking	atomic	composite	512	5	2	android.binder,android.monitor_contention	detail,key	N
app_frame_production	atomic	atomic	138	1	1	android.frames.timeline	summary	N
app_lifecycle_in_range	atomic	atomic	141	0	0	-	detail	N
binder_blocking_in_range	atomic	atomic	98	0	1	android.binder	detail	N
binder_in_range	atomic	atomic	85	0	1	android.binder	detail	N
binder_root_cause	atomic	composite	189	2	1	android.binder_breakdown	key	N
binder_storm_detection	atomic	atomic	393	4	1	android.binder	detail,overview	N
blocking_chain_analysis	atomic	composite	309	3	0	-	key	N
buffer_transaction_lifecycle	atomic	composite	255	3	0	-	detail,list,summary	N
cache_miss_impact	atomic	atomic	114	0	0	-	detail	N
compose_recomposition_hotspot	atomic	atomic	251	3	0	-	detail,overview	N
consumer_jank_detection	atomic	atomic	547	4	1	android.frames.timeline	detail,summary	N
cpu_cluster_load_in_range	atomic	composite	137	2	0	-	detail,hidden	N
cpu_freq_timeline	atomic	composite	142	3	0	-	hidden,summary	N
cpu_idle_analysis	atomic	atomic	100	0	0	-	detail	N
cpu_load_in_range	atomic	composite	144	4	0	-	detail,hidden,summary	N
cpu_slice_analysis	atomic	composite	117	2	0	-	detail,hidden	N
cpu_throttling_in_range	atomic	composite	130	2	0	-	detail,hidden	N
cpu_topology_detection	atomic	atomic	232	3	0	-	summary	N
cpu_topology_view	atomic	composite	133	2	0	-	hidden,summary	N
device_state_snapshot	atomic	atomic	170	0	0	-	overview	N
device_state_timeline	atomic	composite	307	4	0	-	detail	N
fence_wait_decomposition	atomic	composite	313	4	0	-	summary	N
fpsgo_analysis	atomic	atomic	79	0	0	-	summary	N
frame_blocking_calls	atomic	atomic	139	0	2	android.critical_blocking_calls,android.frames.timeline	key	N
frame_pipeline_variance	atomic	atomic	123	0	1	android.frames.timeline	summary	N
frame_production_gap	atomic	composite	336	2	0	-	list,summary	N
futex_wait_distribution	atomic	atomic	116	0	0	-	detail	N
game_fps_analysis	atomic	atomic	376	3	1	android.frames.timeline	detail,summary	N
gc_events_in_range	atomic	atomic	117	0	1	android.garbage_collection	detail	N
gpu_freq_in_range	atomic	atomic	98	0	1	android.gpu.frequency	detail	N
gpu_frequency_analysis	atomic	atomic	93	0	0	-	detail	N
gpu_metrics	atomic	atomic	410	5	1	android.frames.timeline	detail,summary	N
gpu_power_state_analysis	atomic	atomic	116	0	1	android.gpu.frequency	detail	N
gpu_render_in_range	atomic	atomic	103	0	0	-	detail	N
input_events_in_range	atomic	atomic	129	0	1	android.input	detail	N
input_to_frame_latency	atomic	atomic	425	5	1	android.input	detail,list,summary	N
lock_contention_in_range	atomic	atomic	243	3	1	android.monitor_contention	detail,summary	N
logcat_analysis	atomic	atomic	84	0	0	-	summary	N
main_thread_file_io_in_range	atomic	atomic	115	0	0	-	key	N
main_thread_sched_latency_in_range	atomic	atomic	90	0	0	-	detail	N
main_thread_slices_in_range	atomic	atomic	128	0	0	-	key	N
main_thread_states_in_range	atomic	atomic	104	0	0	-	key	N
memory_pressure_in_range	atomic	atomic	381	4	0	-	detail	N
page_fault_in_range	atomic	atomic	112	0	0	-	detail	N
pipeline_4feature_scoring	atomic	composite	291	4	0	-	summary	N
pipeline_key_slices_overlay	atomic	atomic	87	1	0	-	hidden	N
present_fence_timing	atomic	atomic	147	1	1	android.frames.timeline	summary	N
render_pipeline_latency	atomic	atomic	107	0	0	-	key	N
render_thread_slices	atomic	atomic	99	1	0	-	key	N
rendering_pipeline_detection	atomic	composite	748	8	0	-	detail,summary	N
sched_latency_in_range	atomic	atomic	93	0	0	-	detail	N
scheduling_analysis	atomic	atomic	102	0	0	-	detail	N
scroll_response_latency	atomic	atomic	130	0	1	android.input	key	N
sf_composition_in_range	atomic	atomic	98	0	0	-	detail	N
sf_frame_consumption	atomic	atomic	124	1	1	android.frames.timeline	-	N
sf_layer_count_in_range	atomic	composite	154	2	0	-	list,summary	N
startup_binder_in_range	atomic	atomic	105	0	2	android.binder,android.startup.startups	key	N
startup_binder_pool_analysis	atomic	atomic	114	0	1	sched	detail	N
startup_breakdown_in_range	atomic	atomic	114	0	2	android.startup.startup_breakdowns,android.startup.startups	key	N
startup_class_loading_in_range	atomic	atomic	92	0	1	android.startup.startups	detail	N
startup_cpu_placement_timeline	atomic	atomic	134	0	1	sched	detail	N
startup_critical_tasks	atomic	atomic	246	0	2	linux.cpu.frequency,sched	key	N
startup_events_in_range	atomic	atomic	250	0	2	android.startup.startups,android.startup.time_to_display	key	N
startup_freq_rampup	atomic	atomic	109	0	1	linux.cpu.frequency	detail	N
startup_gc_in_range	atomic	atomic	96	0	1	android.startup.startups	detail	N
startup_hot_slice_states	atomic	atomic	115	0	1	sched	detail	N
startup_jit_analysis	atomic	atomic	157	0	1	sched	detail	N
startup_main_thread_binder_blocking_in_range	atomic	atomic	113	0	2	android.binder,android.startup.startups	detail	N
startup_main_thread_file_io_in_range	atomic	atomic	116	0	1	android.startup.startups	key	N
startup_main_thread_slices_in_range	atomic	atomic	137	0	1	android.startup.startups	key	N
startup_main_thread_states_in_range	atomic	atomic	99	0	2	android.startup.startups,sched	key	N
startup_main_thread_sync_binder_in_range	atomic	atomic	102	0	2	android.binder,android.startup.startups	key	N
startup_sched_latency_in_range	atomic	atomic	92	0	2	android.startup.startups,sched	detail	N
startup_slow_reasons	atomic	composite	619	2	2	android.startup.startups,android.startup.time_to_display	key	N
startup_thread_blocking_graph	atomic	atomic	180	0	1	sched	detail	N
system_load_in_range	atomic	atomic	94	0	0	-	detail	N
