module	status	category
android.aflags	UNUSED	android
android.anrs	USED	android
android.app_process_starts	UNUSED	android
android.auto	UNUSED	android
android.auto.multiuser	UNUSED	android
android.battery	UNUSED	android
android.battery.charging_states	UNUSED	android
android.battery.doze	UNUSED	android
android.battery_stats	USED	android
android.binder	USED	android
android.binder_breakdown	USED	android
android.bitmaps	UNUSED	android
android.broadcasts	UNUSED	android
android.cpu	UNUSED	android
android.cpu.cluster_type	UNUSED	android
android.cpu.cpu_per_uid	UNUSED	android
android.critical_blocking_calls	USED	android
android.cujs	UNUSED	android
android.cujs.base	UNUSED	android
android.cujs.cuj_frame_counters	UNUSED	android
android.cujs.sysui_cujs	UNUSED	android
android.cujs.threads	UNUSED	android
android.desktop_mode	UNUSED	android
android.device	UNUSED	android
android.dumpsys	UNUSED	android
android.dumpsys.show_map	UNUSED	android
android.dvfs	UNUSED	android
android.entity_state_residency	UNUSED	android
android.frame_blocking_calls	UNUSED	android
android.frame_blocking_calls.blocking_calls_aggregation	UNUSED	android
android.frames	USED	android
android.frames.jank_type	UNUSED	android
android.frames.per_frame_metrics	UNUSED	android
android.frames.timeline	USED	android
android.frames.timeline_maxsdk28	UNUSED	android
android.freezer	UNUSED	android
android.garbage_collection	USED	android
android.gpu	PARTIAL	android
android.gpu.frequency	USED	android
android.gpu.mali_power_state	UNUSED	android
android.gpu.memory	USED	android
android.gpu.work_period	UNUSED	android
android.input	USED	android
android.io	UNUSED	android
android.job_scheduler	UNUSED	android
android.job_scheduler_states	UNUSED	android
android.kernel_wakelocks	UNUSED	android
android.memory	PARTIAL	android
android.memory.dmabuf	USED	android
android.memory.dmabuf_spans	UNUSED	android
android.memory.heap_graph.class_relationship	UNUSED	android
android.memory.heap_graph.class_summary_tree	UNUSED	android
android.memory.heap_graph.class_tree	UNUSED	android
android.memory.heap_graph.dominator_class_tree	UNUSED	android
android.memory.heap_graph.dominator_tree	UNUSED	android
android.memory.heap_graph.excluded_refs	UNUSED	android
android.memory.heap_graph.heap_graph_class_aggregation	UNUSED	android
android.memory.heap_graph.heap_graph_stats	UNUSED	android
android.memory.heap_graph.helpers	UNUSED	android
