id	kind	type	steps	lines	stdlib_n	stdlib_modules	levels	expandable	target_tier
anr_context_in_range	atomic	atomic	0	98	1	android.anrs	summary	N	B
anr_main_thread_blocking	atomic	composite	5	512	2	android.binder,android.monitor_contention	detail,key	N	S
app_frame_production	atomic	atomic	1	138	1	android.frames.timeline	summary	N	B
app_lifecycle_in_range	atomic	atomic	0	141	0	-	detail	N	B
binder_blocking_in_range	atomic	atomic	0	98	1	android.binder	detail	N	B
binder_in_range	atomic	atomic	0	85	1	android.binder	detail	N	B
binder_root_cause	atomic	composite	2	189	1	android.binder_breakdown	key	N	B
binder_storm_detection	atomic	atomic	4	393	1	android.binder	detail,overview	N	A
blocking_chain_analysis	atomic	composite	3	309	0	-	key	N	A
buffer_transaction_lifecycle	atomic	composite	3	255	0	-	detail,list,summary	N	B
cache_miss_impact	atomic	atomic	0	114	0	-	detail	N	B
compose_recomposition_hotspot	atomic	atomic	3	251	0	-	detail,overview	N	B
consumer_jank_detection	atomic	atomic	4	547	1	android.frames.timeline	detail,summary	N	A
cpu_cluster_load_in_range	atomic	composite	2	137	0	-	detail,hidden	N	B
cpu_freq_timeline	atomic	composite	3	142	0	-	hidden,summary	N	B
cpu_idle_analysis	atomic	atomic	0	100	0	-	detail	N	B
cpu_load_in_range	atomic	composite	4	144	0	-	detail,hidden,summary	N	B
cpu_slice_analysis	atomic	composite	2	117	0	-	detail,hidden	N	B
cpu_throttling_in_range	atomic	composite	2	130	0	-	detail,hidden	N	B
cpu_topology_detection	atomic	atomic	3	232	0	-	summary	N	B
cpu_topology_view	atomic	composite	2	133	0	-	hidden,summary	N	B
device_state_snapshot	atomic	atomic	0	170	0	-	overview	N	B
device_state_timeline	atomic	composite	4	307	0	-	detail	N	A
fence_wait_decomposition	atomic	composite	4	313	0	-	summary	N	A
fpsgo_analysis	atomic	atomic	0	79	0	-	summary	N	B
frame_blocking_calls	atomic	atomic	0	139	2	android.critical_blocking_calls,android.frames.timeline	key	N	B
frame_pipeline_variance	atomic	atomic	0	123	1	android.frames.timeline	summary	N	B
frame_production_gap	atomic	composite	2	336	0	-	list,summary	N	A
futex_wait_distribution	atomic	atomic	0	116	0	-	detail	N	B
game_fps_analysis	atomic	atomic	3	376	1	android.frames.timeline	detail,summary	N	A
gc_events_in_range	atomic	atomic	0	117	1	android.garbage_collection	detail	N	B
gpu_freq_in_range	atomic	atomic	0	98	1	android.gpu.frequency	detail	N	B
gpu_frequency_analysis	atomic	atomic	0	93	0	-	detail	N	B
gpu_metrics	atomic	atomic	5	410	1	android.frames.timeline	detail,summary	N	A
gpu_power_state_analysis	atomic	atomic	0	116	1	android.gpu.frequency	detail	N	B
gpu_render_in_range	atomic	atomic	0	103	0	-	detail	N	B
input_events_in_range	atomic	atomic	0	129	1	android.input	detail	N	B
input_to_frame_latency	atomic	atomic	5	425	1	android.input	detail,list,summary	N	A
lock_contention_in_range	atomic	atomic	3	243	1	android.monitor_contention	detail,summary	N	A
logcat_analysis	atomic	atomic	0	84	0	-	summary	N	B
main_thread_file_io_in_range	atomic	atomic	0	115	0	-	key	N	B
main_thread_sched_latency_in_range	atomic	atomic	0	90	0	-	detail	N	B
main_thread_slices_in_range	atomic	atomic	0	128	0	-	key	N	B
main_thread_states_in_range	atomic	atomic	0	104	0	-	key	N	B
memory_pressure_in_range	atomic	atomic	4	381	0	-	detail	N	A
page_fault_in_range	atomic	atomic	0	112	0	-	detail	N	B
pipeline_4feature_scoring	atomic	composite	4	291	0	-	summary	N	B
pipeline_key_slices_overlay	atomic	atomic	1	87	0	-	hidden	N	B
present_fence_timing	atomic	atomic	1	147	1	android.frames.timeline	summary	N	B
render_pipeline_latency	atomic	atomic	0	107	0	-	key	N	B
render_thread_slices	atomic	atomic	1	99	0	-	key	N	B
rendering_pipeline_detection	atomic	composite	8	748	0	-	detail,summary	N	S
sched_latency_in_range	atomic	atomic	0	93	0	-	detail	N	B
scheduling_analysis	atomic	atomic	0	102	0	-	detail	N	B
scroll_response_latency	atomic	atomic	0	130	1	android.input	key	N	B
sf_composition_in_range	atomic	atomic	0	98	0	-	detail	N	B
sf_frame_consumption	atomic	atomic	1	124	1	android.frames.timeline	-	N	B
sf_layer_count_in_range	atomic	composite	2	154	0	-	list,summary	N	B
startup_binder_in_range	atomic	atomic	0	105	2	android.binder,android.startup.startups	key	N	B
startup_binder_pool_analysis	atomic	atomic	0	114	1	sched	detail	N	B
startup_breakdown_in_range	atomic	atomic	0	114	2	android.startup.startup_breakdowns,android.startup.startups	key	N	B
startup_class_loading_in_range	atomic	atomic	0	92	1	android.startup.startups	detail	N	B
startup_cpu_placement_timeline	atomic	atomic	0	134	1	sched	detail	N	B
startup_critical_tasks	atomic	atomic	0	246	2	linux.cpu.frequency,sched	key	N	A
startup_events_in_range	atomic	atomic	0	250	2	android.startup.startups,android.startup.time_to_display	key	N	A
startup_freq_rampup	atomic	atomic	0	109	1	linux.cpu.frequency	detail	N	B
startup_gc_in_range	atomic	atomic	0	96	1	android.startup.startups	detail	N	B
startup_hot_slice_states	atomic	atomic	0	115	1	sched	detail	N	B
startup_jit_analysis	atomic	atomic	0	157	1	sched	detail	N	B
